n,p,t
10000,50005000,1018738
10000,50005000,987514
10000,50005000,958226
10000,50005000,962768
10000,50005000,965566
10000,50005000,979627
10000,50005000,1014300
10000,50005000,1022702
10000,50005000,964592
10000,50005000,1020715
10000,50005000,983586
10000,50005000,971365
10000,50005000,1017571
10000,50005000,989685
10000,50005000,965305
10000,50005000,964945
10000,50005000,965924
10000,50005000,973010
10000,50005000,999348
10000,50005000,963123
10000,50005000,957385
10000,50005000,963756
10000,50005000,997110
10000,50005000,964696
10000,50005000,961783
10000,50005000,969517
10000,50005000,967731
10000,50005000,966733
10000,50005000,958277
10000,50005000,977102
10000,50005000,964269
10000,50005000,990237
10000,50005000,968849
10000,50005000,974570
10000,50005000,998089
10000,50005000,980296
10000,50005000,966341
10000,50005000,965552
10000,50005000,955321
10000,50005000,975426
10000,50005000,963331
10000,50005000,982231
10000,50005000,965644
10000,50005000,965534
10000,50005000,988227
10000,50005000,966932
10000,50005000,957963
10000,50005000,1011968
10000,50005000,963020
11000,60505500,1170033
11000,60505500,1167966
11000,60505500,1172595
11000,60505500,1166195
11000,60505500,1164204
11000,60505500,1156858
11000,60505500,1216818
11000,60505500,1155486
11000,60505500,1171508
11000,60505500,1162842
11000,60505500,1189734
11000,60505500,1165332
11000,60505500,1165753
11000,60505500,1167571
11000,60505500,1179506
11000,60505500,1180098
