### TEST INCREMENTANDO NODOS (grafos completos)
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
2000,208761,50,439653866,1170,44830664,982,41660377,989
2000,208761,50,431000303,1062,38632784,903,40193427,917
2000,208761,50,418155124,1195,44368868,1020,42939806,993
2000,208761,50,434829553,1009,36777664,872,37130420,865
2000,208761,50,436253346,1006,38476020,830,38450848,831
2000,250513,50,529300985,1716,82595955,1515,82699109,1515
2000,250513,50,554246480,1531,71544263,1297,71477589,1278
2000,250513,50,528740573,1642,76634589,1401,80910843,1404
2000,250513,50,538494141,1556,70623689,1331,69457026,1347
2000,250513,50,548467077,1532,71790881,1326,69754951,1315
2000,300615,50,659699848,2393,130931640,2090,131545112,2078
2000,300615,50,666695381,2444,159505213,2091,134662068,2077
2000,300615,50,696180453,2124,122644599,1847,120416619,1874
2000,300615,50,810378037,2159,122318868,1862,124454910,1851
2000,300615,50,699566591,2293,129355345,1981,131204225,1986
2000,360738,50,826214495,3232,224634096,2759,223675570,2755
2000,360738,50,820087204,3375,250643648,2920,254360118,2913
2000,360738,50,842851395,3272,225685179,2845,230292627,2857
2000,360738,50,844278540,3271,230793321,2840,224350745,2831
2000,360738,50,850161893,3148,218739379,2725,244776651,2676
2000,432885,50,1017417661,4597,392727055,3968,390474304,3971
2000,432885,50,975966045,4535,384580787,3894,379372848,3886
2000,432885,50,1033586871,4387,380497663,3829,375564381,3845
2000,432885,50,1094087247,4341,373066412,3757,383370792,3733
2000,432885,50,1067663436,4186,365297744,3641,443094782,3659
2000,519462,50,1301094300,6039,610976976,5265,622955670,5230
2000,519462,50,1324373355,5951,603342526,5100,607906800,5122
2000,519462,50,1298449485,6009,598241596,5201,597303180,5214
2000,519462,50,1284141834,6114,616696311,5250,589353330,5273
2000,519462,50,1333591370,5839,504431564,4979,610171452,5016
2000,623354,50,1682606194,8252,987990604,7079,1126323387,7025
2000,623354,50,1588088307,7920,1023580630,6662,962447653,6683
2000,623354,50,1509062610,8087,989825726,6944,967659110,6930
2000,623354,50,1681423053,8302,1097677483,7222,1045954972,7132
2000,623354,50,1908399130,8185,1026704237,7010,992783629,7030
2000,748024,50,1991477094,10438,1543931664,9018,1543903246,8958
2000,748024,50,2043713407,10517,1580262105,9075,1556667027,9121
2000,748024,50,1827417863,10904,1584473402,9120,1579133030,9187
2000,748024,50,2019220110,10624,1561782820,8931,1573699616,9005
2000,748024,50,1898087566,10663,1550708077,9015,1127052003,9035
2000,897628,50,2362873190,13990,2546998851,11840,2204450638,11833
2000,897628,50,2349678202,13962,2542174359,11815,1816624529,11774
2000,897628,50,2270791282,14230,2509539963,11993,2549705117,12039
2000,897628,50,2216944547,14183,1902486282,11975,2521246259,11953
2000,897628,50,2399849135,13961,2546011121,11807,2502663298,11778
2000,1077153,50,2864267247,18133,3910268504,15458,3741724766,15444
2000,1077153,50,2993382105,17979,3883064329,15075,3110375337,15068
2000,1077153,50,3335897345,18654,3955974824,15617,3987670958,15640
2000,1077153,50,2854351086,17685,2827247863,15292,3832017099,15234
2000,1077153,50,2898968905,18357,3908626233,15368,3675931519,15342
2000,1292583,50,3674816940,23285,4988720515,19614,6175090432,19690
2000,1292583,50,4231174025,23510,6158381418,19845,4729819426,19866
2000,1292583,50,3530446149,23871,4917383304,19889,6736307696,19992
2000,1292583,50,3616379678,24147,6299347786,20064,4460733574,20028
2000,1292583,50,3500821227,23662,4972676520,19683,6140349728,19677
2000,1551099,50,4666065719,31259,7363801107,25492,6696637655,25554
2000,1551099,50,4130991082,30905,7111549252,25620,8264319012,25591
2000,1551099,50,4275137946,31087,8210845537,25522,7690877182,25553
2000,1551099,50,4937343364,30103,6753152400,25189,7877545576,25263
2000,1551099,50,4220320362,30928,7143606831,25656,6560233851,25666
2000,1861318,50,5018163038,41608,13558329814,33816,13677445183,33793
2000,1861318,50,5059490005,41910,11478022349,33857,12700201500,33821
2000,1861318,50,5234958597,40810,13974817720,33361,12492646804,33417
2000,1861318,50,5935063094,40819,13047778190,33574,11068090291,33556
2000,1861318,50,5989416011,41848,12810350581,33763,12214818992,33748
===========================
### TESTS INCREMENTANDO COLORES
Vamos aumentando la cantidad de colores, manteniendo la cantidad de nodos en 1000 (grafo completo)
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
500,124750,1,31994166,124750,9749896346,124750,9640510337,124750
500,124750,1,24206627,124750,9064224786,124750,10214344298,124750
500,124750,1,23754792,124750,10097158254,124750,11408682270,124750
500,124750,1,28573217,124750,7530248471,124750,9780211132,124750
500,124750,1,23959280,124750,11002453907,124750,8415685407,124750
500,124750,2,35651925,62275,5625045031,62275,6060746718,62275
500,124750,2,33661819,62259,3715857895,62259,4565143283,62259
500,124750,2,33212442,62250,5118804727,62250,5983878500,62250
