### TESTS VECINDAD 1
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1
2000,360738,50,784376162,3279,225685068,2799
2000,360738,50,727041496,3289,211581148,2856
2000,360738,50,781056915,3298,212786378,2920
2000,432885,50,989443353,4264,349645894,3677
2000,432885,50,965220214,4662,373073391,4002
2000,432885,50,991126117,4477,360110097,3826
2000,432885,50,1002637146,4557,363762118,3921
2000,432885,50,961040856,4603,374094303,3918
2000,519462,50,1193529202,6067,565832006,5274
2000,519462,50,1282017552,6283,600554358,5354
2000,519462,50,1323199184,5916,571122248,5098
2000,519462,50,1232732091,6377,607179306,5512
2000,519462,50,1302424134,5830,567760552,4981
2000,623354,50,1493005430,8128,947983003,7026
2000,623354,50,1487560104,7830,907508063,6762
2000,623354,50,1381755277,8146,1145483853,7060
2000,623354,50,1472720070,8154,1126725375,7086
2000,623354,50,1554011986,7977,921450769,6888
2000,748024,50,1789172707,10982,1728388085,9221
2000,748024,50,1893398834,10565,1485406640,8930
2000,748024,50,1786847488,10737,1669209950,9099
2000,748024,50,1829748004,10842,1508722543,9262
2000,748024,50,1763162176,10454,1635621045,9007
2000,897628,50,2297334382,13809,2429364014,11804
2000,897628,50,2267201716,13914,2387657041,11657
2000,897628,50,2308131114,14174,2458516576,11931
2000,897628,50,2205809044,13902,2374326643,11730
2000,897628,50,2183984466,14059,2733365698,11996
2000,1077153,50,3062641102,18175,3597310961,15172
2000,1077153,50,2715162660,17917,3666228638,15332
2000,1077153,50,2871015537,17950,3674903978,15165
2000,1077153,50,2727178781,18141,2661337777,15258
2000,1077153,50,2746146855,18036,3206129385,15198
2000,1292583,50,3368388738,23345,5664922134,19843
2000,1292583,50,3174330486,23189,5262158081,19966
2000,1292583,50,3326110896,23317,5234033000,19639
2000,1292583,50,3437754560,23202,5642411612,19616
2000,1292583,50,3210976475,24090,5554574917,19990
2000,1551099,50,4058406220,30608,7898867999,25506
2000,1551099,50,3873404173,31507,7227274587,25775
2000,1551099,50,3969703156,30705,7870937871,25529
2000,1551099,50,3939958963,31956,6434308326,25579
2000,1551099,50,3967481446,29754,7722965694,25419
2000,1861318,50,4711074632,41034,10948834293,33640
2000,1861318,50,4813323546,40992,12476035003,33675
2000,1861318,50,4984776139,39935,11232730671,33359
2000,1861318,50,4693949382,40700,12467287631,33847
2000,1861318,50,4798183977,41443,11829884156,33822
===========================
### TESTS VECINDAD 1
Vamos aumentando la cantidad de colores, manteniendo la cantidad de nodos en 1000 (grafo completo)
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1
500,124750,1,18241164,124750,8260495918,124750
500,124750,1,20074733,124750,7093430018,124750
500,124750,1,34561377,124750,8623739765,124750
500,124750,1,19305034,124750,7832529272,124750
500,124750,1,19427985,124750,7262211370,124750
500,124750,2,30304330,62250,4988016471,62250
500,124750,2,28195926,62250,4671661694,62250
500,124750,2,28647892,62250,4234946978,62250
500,124750,2,28331696,62286,3887263465,62286
500,124750,2,28387364,62574,3711388847,62574
500,124750,3,36381697,42481,2661480602,41551
500,124750,3,36663654,41911,3155880482,41417
500,124750,3,36377970,42719,3389703293,41417
500,124750,3,39358898,42481,3300572368,41699
500,124750,3,36242597,42217,2738872661,41441
500,124750,4,42065568,32475,2395424410,31001
500,124750,4,43936706,32552,1545088930,31003
500,124750,4,42017748,32408,2433093381,31153
500,124750,4,41086957,33498,2880810621,31018
500,124750,4,43682878,31955,2425678519,31000
500,124750,5,47737982,26357,1913171773,24813
500,124750,5,59139332,25527,1942078412,24751
500,124750,5,66237117,26579,1977797711,24756
500,124750,5,48327975,25783,1868003637,24757
500,124750,5,52506164,25997,1927884563,24813
500,124750,6,52920516,22058,1594092755,20655
500,124750,6,52610607,23058,1845491614,20717
500,124750,6,81281408,23034,1656968627,20697
500,124750,6,53759483,21625,1553025583,20616
500,124750,6,54432621,22007,1245458191,20712
500,124750,8,64437619,17035,1180696645,15432
500,124750,8,65856323,17246,1255968394,15465
500,124750,8,91092864,17292,1210402528,15398
500,124750,8,64759294,17128,1206574444,15396
500,124750,8,63659970,18001,1331236491,15466
500,124750,10,80473339,13877,970573896,12288
500,124750,10,76393095,13363,937550979,12279
500,124750,10,73423263,14487,1049176511,12425
500,124750,10,80351219,14169,697050816,12250
500,124750,10,84987662,13967,992317398,12381
500,124750,12,82461561,12063,918746837,10301
500,124750,12,94765589,11328,748414529,10168
500,124750,12,83551257,12022,839963761,10277
500,124750,12,86947062,11342,822432449,10174
500,124750,12,117868698,11526,947228935,10185
500,124750,15,100739221,9609,708674562,8176
500,124750,15,101306918,8910,662955290,8112
500,124750,15,97810806,8867,737575060,8274
500,124750,15,112524933,9714,708205352,8116
500,124750,15,100250263,9550,715831688,8118
500,124750,18,112160368,8024,602322470,6729
500,124750,18,119115255,7787,614580014,6718
500,124750,18,119998308,7578,594931153,6696
500,124750,18,115107868,7992,601007559,6814
500,124750,18,111750529,8291,662923954,6722
500,124750,22,140122098,6274,320101150,5460
500,124750,22,137335237,6476,476907922,5455
500,124750,22,139080705,6222,461897959,5441
500,124750,22,142655941,6544,521545684,5449
500,124750,22,133390082,6266,461639088,5438
500,124750,27,160253303,5105,390513042,4393
500,124750,27,161754868,4991,401718141,4409
500,124750,27,170511836,5427,283210185,4384
500,124750,27,149466587,5605,414782578,4454
500,124750,27,158109938,5039,376148332,4391
500,124750,33,197804917,4386,351647360,3564
500,124750,33,185282107,4373,332958566,3557
500,124750,33,172558473,4503,334553151,3670
500,124750,33,194831885,4219,353186813,3559
500,124750,33,197152110,4283,318243224,3551
500,124750,40,269394985,3684,360175334,2919
500,124750,40,278480551,3466,354029434,2913
500,124750,40,251128901,3626,298235035,2889
500,124750,40,218977810,3500,269281385,2885
500,124750,40,201354192,3479,253736944,2972
500,124750,48,257943217,2987,249614823,2381
500,124750,48,244603273,2908,216381750,2392
500,124750,48,247801959,2707,212223840,2367
500,124750,48,256708157,2847,229146939,2373
500,124750,48,272354791,2859,237659276,2360
500,124750,58,305020760,2449,182522317,1919
500,124750,58,310319271,2496,210800538,1936
500,124750,58,283344851,2321,175109364,1936
500,124750,58,294448963,2268,173908337,1928
500,124750,58,308309196,2330,194793408,1917
500,124750,70,340349109,1938,151812520,1559
500,124750,70,359214383,1936,158297461,1552
500,124750,70,375214617,1888,140376869,1553
500,124750,70,342698285,1862,140995831,1557
500,124750,70,345648607,2040,170524061,1560
500,124750,84,397694929,1595,122036906,1268
500,124750,84,430506861,1588,128115543,1257
500,124750,84,459653481,1428,117105375,1257
500,124750,84,412220297,1592,124859023,1258
500,124750,84,387679656,1596,131280389,1269
500,124750,101,461125100,1214,100157881,1006
500,124750,101,486176635,1245,111319409,1000
500,124750,101,449788510,1274,98953082,1031
500,124750,101,465258520,1266,111190511,1017
500,124750,101,526915326,1261,99115443,1021
500,124750,122,548118160,944,81519346,806
500,124750,122,566100266,993,81724814,800
500,124750,122,580471435,1003,93265617,798
500,124750,122,566837815,970,80302360,810
500,124750,122,598664675,1001,115060667,807
500,124750,147,715677820,767,67898779,632
500,124750,147,686751035,795,75306505,632
500,124750,147,625094481,733,62690302,632
500,124750,147,633646553,765,173013386,637
500,124750,147,703031965,715,68418374,627
500,124750,177,816914628,572,53446434,492
500,124750,177,795968533,569,56536015,484
500,124750,177,915163000,626,59102607,483
500,124750,177,864399373,592,55989799,481
500,124750,177,744655261,607,58221378,499
500,124750,213,903648599,466,49174757,375
500,124750,213,967171126,439,43000028,381
500,124750,213,932666012,451,47805720,376
500,124750,213,882296976,454,46988850,385
500,124750,213,908142963,452,43270337,392
500,124750,256,1068085983,323,34253586,295
500,124750,256,1191342201,321,32877794,289
500,124750,256,1049293430,329,34587328,294
500,124750,256,1027055200,329,46703310,303
500,124750,256,1096740039,326,32036034,295
500,124750,308,1188035475,241,24215326,212
500,124750,308,1272987985,225,23697449,206
500,124750,308,1246301126,232,23682275,215
500,124750,308,1208216495,234,24250242,215
500,124750,308,1297456829,213,24945513,206
500,124750,370,1504376061,134,16004490,131
500,124750,370,1460125597,137,16173490,133
500,124750,370,1360054048,138,15950938,131
500,124750,370,1453112637,135,16163604,131
500,124750,370,1390896771,145,15302138,133
500,124750,444,1835054237,56,5652851,56
500,124750,444,1754197115,58,5652076,58
500,124750,444,1713977489,59,5163193,59
500,124750,444,1845354518,61,7227425,61
500,124750,444,1746453517,60,6414228,59
